iter	Passed	Remaining
0	3	306
1	3	192
2	4	151
3	5	128
4	6	116
5	6	106
6	7	100
7	8	96
8	9	92
9	9	89
10	10	86
11	11	83
12	12	81
13	12	78
14	13	75
15	14	74
16	14	72
17	15	70
18	16	68
19	16	67
20	17	66
21	18	65
22	19	63
23	19	62
24	20	61
25	21	60
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	24	53
32	25	52
33	26	51
34	26	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	30	44
41	31	42
42	31	41
43	32	41
44	32	40
45	33	39
46	34	38
47	34	37
48	35	36
49	35	35
50	36	35
51	37	34
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	47	21
69	48	20
70	49	20
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	12
81	56	12
82	56	11
83	57	10
84	58	10
85	58	9
86	59	8
87	60	8
88	60	7
89	61	6
90	61	6
91	62	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
